word,origin_language,reltype
عمة,Arabic,inherited_from
अङ्ग्रेजी,Hindi,derived_from
artimon,French,borrowed_from
impresszárió,Italian,borrowed_from
φουφού,Greek,derived_from
φουφού,Greek,derived_from
चाय,Hindi,borrowed_from
apreciabil,French,borrowed_from
azotit,French,borrowed_from
neonaat,Latin,derived_from
انفجر,Arabic,inherited_from
dysputa,German,borrowed_from
bocal,Italian,borrowed_from
अस्पृश्यता,Hindi,borrowed_from
quarl,German,derived_from
κορίτς,Greek,derived_from
φουφού,Greek,derived_from
affranchi,French,borrowed_from
traŭbo,German,borrowed_from
poçtalyon,Italian,derived_from
coronarită,French,borrowed_from
φουφού,Greek,derived_from
κορτσόπον,Greek,derived_from
avviċina,Italian,borrowed_from
علاش,Arabic,inherited_from
ھۆر,Arabic,borrowed_from
توبة,Arabic,borrowed_from
हिन्दु,Hindi,borrowed_from
बरफ,Hindi,derived_from
tipikus,German,borrowed_from
κορίτς,Greek,derived_from
لاحق,Arabic,inherited_from
रोटी,Hindi,borrowed_from
κορίτς,Greek,derived_from
ayder,Latin,inherited_from
lexical,French,borrowed_from
बरफ,Hindi,derived_from
tekniku,Italian,borrowed_from
سمكة,Arabic,inherited_from
produksi,French,derived_from
لفاف,Arabic,borrowed_from
fustă,Italian,derived_from
دینار,Arabic,borrowed_from
जिल्ला,Hindi,derived_from
جمجمة,Arabic,inherited_from
recepce,Latin,derived_from
चाय,Hindi,borrowed_from
बरफ,Hindi,derived_from
كانون الأول,Arabic,inherited_from
lambire,Latin,derived_from
κορτσόπον,Greek,derived_from
seleniat,French,borrowed_from
ċittadina,Italian,borrowed_from
radíroz,German,derived_from
numerota,French,borrowed_from
somerica,German,derived_from
sorg,Italian,derived_from
skafandro,Italian,borrowed_from
روحانی,Arabic,borrowed_from
specchia,Italian,borrowed_from
حكم,Arabic,inherited_from
geal,Latin,derived_from
pàipear,Latin,derived_from
sillabazzjoni,Italian,borrowed_from
पुलटिस,Hindi,derived_from
κορτσόπον,Greek,derived_from
amfibik,French,borrowed_from
pendragon,Latin,derived_from
تەشكىلات,Arabic,borrowed_from
proibir,Latin,borrowed_from
صدغ,Arabic,inherited_from
कर्गद,Hindi,borrowed_from
masto,German,borrowed_from
hessesch,German,derived_from
spaniol,Italian,borrowed_from
φουφού,Greek,derived_from
curantă,French,borrowed_from
vrt,Latin,derived_from
damf,German,borrowed_from
lansquenet,German,derived_from
allí,Latin,inherited_from
φουφού,Greek,derived_from
ائتلاف,Arabic,borrowed_from
काफी,Hindi,borrowed_from
κορίτς,Greek,derived_from
plan,German,derived_from
perspektif,French,borrowed_from
κορτσόπον,Greek,derived_from
reyinyon,French,inherited_from
पुलटिस,Hindi,derived_from
κορτσόπον,Greek,derived_from
flitzen,German,derived_from
fondamento,Italian,borrowed_from
ضامن,Arabic,derived_from
كاف,Arabic,inherited_from
अङ्ग्रेजी,Hindi,derived_from
lîlas,French,borrowed_from
مصطفی,Arabic,borrowed_from
violina,Italian,derived_from
aprioric,German,borrowed_from
कर्गद,Hindi,borrowed_from
atletizál,German,derived_from
benedeien,Italian,derived_from
neurológus,German,derived_from
शैंपू,Hindi,derived_from
مَکان,Arabic,borrowed_from
κορτσόπον,Greek,derived_from
समोष,Hindi,borrowed_from
φουφού,Greek,derived_from
مجاهد,Arabic,borrowed_from
nativité,Latin,borrowed_from
κορτσόπον,Greek,derived_from
काटकसर,Hindi,derived_from
-isco,Latin,inherited_from
pauza,German,derived_from
موسیقی,Arabic,derived_from
codi,Latin,derived_from
degou,French,derived_from
muscardină,French,borrowed_from
nobhail,Italian,derived_from
कक्षा,Hindi,borrowed_from
مقبوضہ,Arabic,derived_from
osteoid,French,borrowed_from
κορτσόπον,Greek,derived_from
fotomontaža,French,derived_from
audisi,Latin,derived_from
φουφού,Greek,derived_from
klaproos,German,borrowed_from
soubrette,Latin,derived_from
uretral,French,borrowed_from
κορτσόπον,Greek,derived_from
ئايال,Arabic,derived_from
awtor,German,borrowed_from
konkordancia,Latin,borrowed_from
inhibitor,French,borrowed_from
مۇھەببەت,Arabic,derived_from
चाय,Hindi,borrowed_from
अख़बार,Hindi,borrowed_from
seto,Latin,derived_from
देवभाषा,Hindi,borrowed_from
κορίτς,Greek,derived_from
aperir,Latin,derived_from
يوم,Arabic,inherited_from
flavonoid,Latin,derived_from
سمي,Arabic,inherited_from
rıtsar,German,borrowed_from
κορτσόπον,Greek,derived_from
مروت,Arabic,borrowed_from
goulash,German,derived_from
काटकसर,Hindi,derived_from
baiaderă,French,borrowed_from
acception,Latin,derived_from
κορτσόπον,Greek,derived_from
geologic,French,borrowed_from
szimmetrikus,German,borrowed_from
شبکه,Arabic,borrowed_from
κορτσόπον,Greek,derived_from
các tông,French,borrowed_from
cahuayo,Latin,derived_from
creaționism,French,borrowed_from
κορτσόπον,Greek,derived_from
κορτσόπον,Greek,derived_from
κορίτς,Greek,derived_from
κορίτς,Greek,derived_from
अङ्ग्रेजी,Hindi,derived_from
filtratie,French,borrowed_from
φουφού,Greek,derived_from
अस्पृश्यता,Hindi,borrowed_from
gicler,Latin,inherited_from
φουφού,Greek,derived_from
morál,German,borrowed_from
terrorizál,German,derived_from
κορίτς,Greek,derived_from
φουφού,Greek,derived_from
fío,Latin,inherited_from
ballottement,French,borrowed_from
pronunciation,Latin,derived_from
eduka,Italian,borrowed_from
κορτσόπον,Greek,derived_from
lucerna,Latin,derived_from
albuminoid,French,borrowed_from
अख़बार,Hindi,borrowed_from
φουφού,Greek,derived_from
noeud,Latin,inherited_from
φουφού,Greek,derived_from
forger,Latin,inherited_from
φουφού,Greek,derived_from
voluutta,Italian,derived_from
cipolin,Italian,borrowed_from
dragtvång,German,derived_from
școlariza,French,borrowed_from
abilità,Latin,derived_from
polenta,Italian,borrowed_from
काटकसर,Hindi,derived_from
attityd,Italian,derived_from
समोष,Hindi,borrowed_from
sectar,French,borrowed_from
κορτσόπον,Greek,derived_from
magnetofoni,German,borrowed_from
bionică,French,borrowed_from
κορίτς,Greek,derived_from
termo,Italian,borrowed_from
cirl bunting,Italian,derived_from
φουφού,Greek,derived_from
κορίτς,Greek,derived_from
afholde,German,derived_from
abonnent,German,borrowed_from
अस्पृश्यता,Hindi,borrowed_from
spermatogen,German,borrowed_from
أزرق,Arabic,inherited_from
ascertain,Latin,derived_from
gimnazio,German,borrowed_from
صولجان,Arabic,inherited_from
beccafico,Italian,borrowed_from
concinno,Latin,derived_from
tremer,Latin,inherited_from
शैंपू,Hindi,derived_from
جرار,Arabic,inherited_from
farfalloni,Italian,borrowed_from
हिन्दु,Hindi,borrowed_from
मरीयमिपुत्र,Hindi,derived_from
rango,French,borrowed_from
terco,Latin,derived_from
बरफ,Hindi,derived_from
huzaar,German,borrowed_from
फिरङ्ग,Hindi,derived_from
stranutari,Italian,derived_from
property,Latin,derived_from
चाय,Hindi,borrowed_from
بعض,Arabic,inherited_from
ihtiolit,French,borrowed_from
sequar,Italian,borrowed_from
reto,Italian,derived_from
मरीयमिपुत्र,Hindi,derived_from
argjend,Italian,borrowed_from
korianteri,German,derived_from
stokes,French,borrowed_from
κορίτς,Greek,derived_from
organosol,French,borrowed_from
alarma,Italian,borrowed_from
काटकसर,Hindi,derived_from
غمز,Arabic,inherited_from
cainle,Latin,derived_from
korno,Italian,borrowed_from
malpoziție,French,borrowed_from
chequeen,Italian,derived_from
ذيب,Arabic,inherited_from
brak,German,derived_from
κορίτς,Greek,derived_from
mangiâta,Italian,borrowed_from
flaterie,French,borrowed_from
emu,German,borrowed_from
हिन्दु,Hindi,borrowed_from
carste,German,borrowed_from
انتقل,Arabic,inherited_from
φουφού,Greek,derived_from
غلف,Arabic,inherited_from
sexolog,French,borrowed_from
देवभाषा,Hindi,borrowed_from
بالعاني,Arabic,inherited_from
abstenționist,French,borrowed_from
lucigenin,Latin,derived_from
عدس,Arabic,borrowed_from
karbonju,Italian,borrowed_from
चाय,Hindi,borrowed_from
turbano,German,borrowed_from
देवभाषा,Hindi,borrowed_from
κορίτς,Greek,derived_from
बरफ,Hindi,derived_from
ايمتى,Arabic,inherited_from
urán,German,borrowed_from
ocultació,Latin,derived_from
प्याज,Hindi,borrowed_from
مخصوص,Arabic,borrowed_from
शैंपू,Hindi,derived_from
miséricorde,Latin,derived_from
κορίτς,Greek,derived_from
अस्पृश्यता,Hindi,borrowed_from
lusorious,Latin,derived_from
فارسي,Arabic,inherited_from
frivol,French,borrowed_from
φουφού,Greek,derived_from
šlágr,German,derived_from
बरफ,Hindi,derived_from
कर्गद,Hindi,borrowed_from
sója,German,borrowed_from
hallux,Latin,derived_from
κορτσόπον,Greek,derived_from
currant,French,borrowed_from
aulete,Latin,learned_borrowing_from
κορίτς,Greek,derived_from
بصدفة,Arabic,inherited_from
ماي,Arabic,inherited_from
cementită,French,borrowed_from
शैंपू,Hindi,derived_from
शैंपू,Hindi,derived_from
शैंपू,Hindi,derived_from
tahigrafie,French,borrowed_from
comunist,French,borrowed_from
κορίτς,Greek,derived_from
κορτσόπον,Greek,derived_from
kelj,German,derived_from
graminoid,Latin,derived_from
حیله,Arabic,borrowed_from
pairseil,Latin,derived_from
ygreja,Latin,inherited_from
dansar,Italian,borrowed_from
ingenuu,Latin,borrowed_from
dependent,French,borrowed_from
φουφού,Greek,derived_from
gesztenye,German,borrowed_from
κορίτς,Greek,derived_from
रोटी,Hindi,borrowed_from
κορίτς,Greek,derived_from
bubel,German,derived_from
hefti,German,borrowed_from
kolono,Italian,derived_from
buste,Italian,derived_from
अस्पृश्यता,Hindi,borrowed_from
κορίτς,Greek,derived_from
dúr,German,borrowed_from
تونس,Arabic,inherited_from
majordome,Italian,borrowed_from
etneo,Latin,borrowed_from
analoog,German,borrowed_from
consonant,French,borrowed_from
रोटी,Hindi,borrowed_from
maestoso,Italian,borrowed_from
giallolino,Italian,derived_from
حلى,Arabic,inherited_from
boussole,Italian,borrowed_from
maske,German,derived_from
condyle,Latin,derived_from
paleozoolog,German,borrowed_from
جلیقه,Arabic,borrowed_from
مظنون,Arabic,borrowed_from
هادي,Arabic,inherited_from
neandertalinihminen,German,derived_from
beneficiar,French,borrowed_from
incredibilitate,Italian,borrowed_from
quinze,French,borrowed_from
rond,German,borrowed_from
parteja,French,derived_from
iudaic,French,borrowed_from
skalm,Italian,borrowed_from
نقد,Arabic,borrowed_from
κορτσόπον,Greek,derived_from
balsamine,French,derived_from
देवभाषा,Hindi,borrowed_from
κορίτς,Greek,derived_from
koumiss,German,derived_from
statwarju,Italian,borrowed_from
hermetikk,French,derived_from
κορτσόπον,Greek,derived_from
حسس,Arabic,inherited_from
brite,German,derived_from
egzistansiyel,French,borrowed_from
penzlin,German,derived_from
زەكەر,Arabic,borrowed_from
φουφού,Greek,derived_from
रोटी,Hindi,borrowed_from
ffinanzja,Italian,borrowed_from
montázs,German,borrowed_from
هكدا,Arabic,inherited_from
ofte,German,borrowed_from
protoplasmă,French,borrowed_from
förfärdiga,German,derived_from
φουφού,Greek,derived_from
وفا,Arabic,borrowed_from
addukti,Latin,derived_from
फिरङ्ग,Hindi,derived_from
breve,Italian,borrowed_from
اداره,Arabic,borrowed_from
شرور,Arabic,borrowed_from
balistician,French,borrowed_from
listo,Italian,derived_from
peduncul,Latin,borrowed_from
plezir,French,derived_from
حاكمیت,Arabic,derived_from
κορίτς,Greek,derived_from
κορτσόπον,Greek,derived_from
crème de menthe,French,borrowed_from
tiri,Italian,borrowed_from
हिन्दु,Hindi,borrowed_from
φουφού,Greek,derived_from
بطيخ,Arabic,inherited_from
doktor,German,borrowed_from
guanidină,French,borrowed_from
retrospective,Latin,derived_from
प्याज,Hindi,borrowed_from
مشى,Arabic,inherited_from
murmura,French,derived_from
unken,German,borrowed_from
quinquagenary,French,derived_from
spadséieren,Italian,derived_from
ductil,French,borrowed_from
filtreren,Latin,derived_from
ammortizza,Italian,borrowed_from
viburnum,Latin,borrowed_from
kaco,Italian,borrowed_from
rosmareno,Italian,derived_from
partisaani,Italian,derived_from
φουφού,Greek,derived_from
druse,German,derived_from
żmaga,Italian,borrowed_from
حقل,Arabic,inherited_from
evizione,Latin,derived_from
antimon,Latin,derived_from
kapellmeister,German,borrowed_from
farmec,Latin,inherited_from
rumàntsch,Latin,inherited_from
cupè,French,borrowed_from
φουφού,Greek,derived_from
roux,Latin,inherited_from
dio,Italian,borrowed_from
dezangaja,French,borrowed_from
glòir,Latin,derived_from
مدت,Arabic,borrowed_from
interpreteren,French,derived_from
κορίτς,Greek,derived_from
قلق,Arabic,inherited_from
बरफ,Hindi,derived_from
اِدرار,Arabic,derived_from
اغراض,Arabic,inherited_from
φουφού,Greek,derived_from
jamai,Latin,inherited_from
काटकसर,Hindi,derived_from
अङ्ग्रेजी,Hindi,derived_from
अख़बार,Hindi,borrowed_from
علنا,Arabic,derived_from
κορτσόπον,Greek,derived_from
काटकसर,Hindi,derived_from
gravor,French,borrowed_from
akrobat,German,derived_from
قشرة,Arabic,inherited_from
φουφού,Greek,derived_from
φουφού,Greek,derived_from
avant-courier,French,derived_from
अख़बार,Hindi,borrowed_from
rotaciza,French,borrowed_from
फिरङ्ग,Hindi,derived_from
نجفة,Arabic,inherited_from
κορίτς,Greek,derived_from
orgolios,Italian,borrowed_from
κορτσόπον,Greek,derived_from
خنق,Arabic,inherited_from
proconsole,Latin,derived_from
φουφού,Greek,derived_from
disinn,Italian,borrowed_from
artista,German,derived_from
portofolio,Italian,derived_from
tangone,French,borrowed_from
komitato,Italian,derived_from
laguno,German,derived_from
اسلوب,Arabic,borrowed_from
dorf,German,borrowed_from
nalli,German,derived_from
कर्गद,Hindi,borrowed_from
rapacitate,French,borrowed_from
زريعة,Arabic,inherited_from
onora,Italian,borrowed_from
racjonalizacja,French,derived_from
stígvél,Italian,derived_from
echinocțiu,French,derived_from
κορίτς,Greek,derived_from
صلاحیت,Arabic,derived_from
cognin,French,inherited_from
κορτσόπον,Greek,derived_from
proviand,German,borrowed_from
कर्गद,Hindi,borrowed_from
šerpa,German,derived_from
कर्गद,Hindi,borrowed_from
φουφού,Greek,derived_from
φουφού,Greek,derived_from
देवभाषा,Hindi,borrowed_from
antocian,French,borrowed_from
زريعة,Arabic,inherited_from
drapieren,French,derived_from
شاب,Arabic,inherited_from
tsarina,Italian,borrowed_from
pröjsa,German,derived_from
अङ्ग्रेजी,Hindi,derived_from
قشر,Arabic,inherited_from
باب,Arabic,inherited_from
चाय,Hindi,borrowed_from
pinochle,German,derived_from
saffiaan,German,borrowed_from
cirrous,Latin,derived_from
चाय,Hindi,borrowed_from
تنمر,Arabic,inherited_from
κορίτς,Greek,derived_from
κορίτς,Greek,derived_from
κορτσόπον,Greek,derived_from
لہذا,Arabic,derived_from
चाय,Hindi,borrowed_from
chodrón,French,borrowed_from
diplomácia,German,derived_from
مغربي,Arabic,inherited_from
κορτσόπον,Greek,derived_from
attrakció,Latin,derived_from
عائلة,Arabic,learned_borrowing_from
baszta,Italian,derived_from
farizyen,French,derived_from
scóp,Italian,derived_from
خفيف,Arabic,inherited_from
boqq,Italian,borrowed_from
बरफ,Hindi,derived_from
शैंपू,Hindi,derived_from
brébis,Latin,inherited_from
galavèrna,Italian,borrowed_from
piédestal,Italian,borrowed_from
tükk,German,derived_from
trampa,Italian,derived_from
κορτσόπον,Greek,derived_from
uterino,Latin,derived_from
κορτσόπον,Greek,derived_from
هاد,Arabic,inherited_from
φουφού,Greek,derived_from
diastolic,French,borrowed_from
κορτσόπον,Greek,derived_from
चाय,Hindi,borrowed_from
فرش,Arabic,inherited_from
konfigurat,Italian,borrowed_from
κορτσόπον,Greek,derived_from
trombo,Italian,derived_from
intîr,Latin,inherited_from
تغطى,Arabic,inherited_from
àngulu,Latin,derived_from
salvació,Latin,derived_from
نسل,Arabic,borrowed_from
orientalisztika,German,derived_from
अङ्ग्रेजी,Hindi,derived_from
sèsto,Latin,derived_from
mediantti,Italian,derived_from
adulation,Latin,derived_from
tuta,Italian,derived_from
φουφού,Greek,derived_from
κορίτς,Greek,derived_from
Porto-Vecchio,Italian,borrowed_from
grulla,Latin,inherited_from
virtú,Latin,derived_from
शैंपू,Hindi,derived_from
ذبح,Arabic,borrowed_from
طاقت,Arabic,borrowed_from
walet,Latin,derived_from
pênsil,Latin,derived_from
arabesco,Italian,borrowed_from
κορίτς,Greek,derived_from
affiljazzjoni,Italian,borrowed_from
κορίτς,Greek,derived_from
passamezzo,Italian,borrowed_from
مدة,Arabic,inherited_from
autoplastie,French,borrowed_from
tractor,French,borrowed_from
عدل,Arabic,borrowed_from
veduu,Latin,inherited_from
nesto,German,borrowed_from
سفیر,Arabic,borrowed_from
escadrille,French,borrowed_from
κορίτς,Greek,derived_from
chibre,German,derived_from
sondor,French,borrowed_from
हिन्दु,Hindi,borrowed_from
mondmilch,German,borrowed_from
picta,Italian,borrowed_from
tara,Italian,derived_from
flejtuch,German,borrowed_from
مرتضی,Arabic,borrowed_from
furtga,Latin,inherited_from
butero,German,derived_from
speso,Latin,inherited_from
हिन्दु,Hindi,borrowed_from
dëshirë,Latin,borrowed_from
škafetin,Italian,derived_from
pinhata,Italian,derived_from
देवभाषा,Hindi,borrowed_from
κορίτς,Greek,derived_from
frige,Latin,inherited_from
कक्षा,Hindi,borrowed_from
معادل,Arabic,borrowed_from
ossobuco,Italian,borrowed_from
rankle,Latin,derived_from
जिल्ला,Hindi,derived_from
funambule,Latin,borrowed_from
काफी,Hindi,borrowed_from
vida,Italian,derived_from
κορτσόπον,Greek,derived_from
علاقه,Arabic,borrowed_from
trieniu,Latin,borrowed_from
šuple,German,borrowed_from
morbo,Latin,derived_from
مقفل,Arabic,inherited_from
काफी,Hindi,borrowed_from
अनौठो,Hindi,derived_from
korrupt,German,borrowed_from
φουφού,Greek,derived_from
κορίτς,Greek,derived_from
سارية,Arabic,inherited_from
instaurer,Latin,borrowed_from
मरीयमिपुत्र,Hindi,derived_from
kater,German,borrowed_from
مشکات,Arabic,borrowed_from
κορτσόπον,Greek,derived_from
اسلام,Arabic,borrowed_from
adjure,Latin,derived_from
amööb,German,borrowed_from
جلسه,Arabic,derived_from
hallucination,Latin,borrowed_from
प्याज,Hindi,borrowed_from
κορτσόπον,Greek,derived_from
φουφού,Greek,derived_from
téacs,Latin,derived_from
megafon,French,derived_from
dezechilibru,French,borrowed_from
Red Sea,Latin,derived_from
κορίτς,Greek,derived_from
andebol,German,borrowed_from
अनौठो,Hindi,derived_from
farsa,French,borrowed_from
llaminar,Latin,derived_from
recoup,French,borrowed_from
प्याज,Hindi,borrowed_from
كانون الأول,Arabic,inherited_from
φουφού,Greek,derived_from
subaltern,French,borrowed_from
عبقري,Arabic,learned_borrowing_from
κορίτς,Greek,derived_from
पुलटिस,Hindi,derived_from
مناقشه,Arabic,borrowed_from
κορίτς,Greek,derived_from
galoty,Italian,derived_from
electoral,French,borrowed_from
κορίτς,Greek,derived_from
narcissus,Latin,borrowed_from
cúirtealáiste,Latin,derived_from
κορίτς,Greek,derived_from
κορίτς,Greek,derived_from
जिल्ला,Hindi,derived_from
ideo,Italian,derived_from
volcano,Italian,derived_from
nestris,Latin,inherited_from
immens,French,borrowed_from
हिन्दु,Hindi,borrowed_from
kanaka,German,derived_from
سعی,Arabic,borrowed_from
